prefill_length,log_prefill_length,prefill_time,decode_time,total_time,dominant_op,dominant_op_time
256,8.0,0.02582526206970215,0.44523167610168457,0.4710569381713867,attention,0.014172831982374191
512,9.0,0.02560138702392578,0.4279806613922119,0.4535820484161377,attention,0.014024704068899158
1024,10.0,0.028059959411621094,0.4283261299133301,0.45638608932495117,attention,0.01502835202217102
2048,11.0,0.034499406814575195,0.42924046516418457,0.46373987197875977,attention,0.017054560065269474
4096,12.0,0.0482940673828125,0.42733240127563477,0.47562646865844727,ffn,0.02057760000228882
8192,13.0,0.07139253616333008,0.4265897274017334,0.4979822635650635,ffn,0.03200355190038681
16384,14.0,0.1382160186767578,0.42937779426574707,0.5675938129425049,attention,0.062775936126709
32768,15.0,0.29570484161376953,0.4345695972442627,0.7302744388580322,attention,0.15173584079742433
65536,16.0,0.7314531803131104,0.4429600238800049,1.1744132041931152,attention,0.45156415653228754
