output_length,time
128,3.8654983043670654
256,6.879684209823608
384,10.278530597686768
512,13.671478748321533
640,17.0466046333313
768,20.50730562210083
896,23.871315240859985
1024,27.31735324859619
1152,30.63473629951477
1280,33.99615120887756
1408,37.430678844451904
1536,40.71023774147034
1664,44.09698987007141
1792,47.59240198135376
1920,50.79069495201111
2048,55.279908418655396
