output_length,time
128,11.279088020324707
256,20.210794925689697
384,31.57714557647705
512,44.387510776519775
640,58.0456805229187
768,72.34132313728333
896,88.46494936943054
1024,106.51660084724426
1152,127.65931177139282
1280,151.39455890655518
1408,175.26990365982056
1536,200.88198733329773
1664,229.5892415046692
1792,258.97916555404663
1920,289.95254373550415
2048,340.64616107940674
